examine,id,members,lowalch,limit,value,highalch,icon,name
"A set containing a full helm, platebody, legs and kiteshield.",13020,false,3200,8,8000,4800,Adamant gold-trimmed set (lg).png,Adamant gold-trimmed set (lg)
"A set containing a full helm, platebody, skirt and kiteshield.",13022,false,3200,8,8000,4800,Adamant gold-trimmed set (sk).png,Adamant gold-trimmed set (sk)
An adamant halberd.,3200,true,2560,125,6400,3840,Adamant halberd.png,Adamant halberd
"An adamant-tipped, one-handed hasta.",11375,true,832,125,2080,1248,Adamant hasta.png,Adamant hasta
"A poison-tipped, one-handed adamantite hasta.",11407,true,832,125,2080,1248,Adamant hasta(p).png,Adamant hasta(p)
"A poison-tipped, one-handed adamantite hasta.",11410,true,832,125,2080,1248,Adamant hasta(p+).png,Adamant hasta(p+)
"A poison-tipped, one-handed adamantite hasta.",11412,true,832,125,2080,1248,Adamant hasta(p++).png,Adamant hasta(p++)
An adamant helmet with a heraldic design.,10296,false,1408,70,3520,2112,Adamant helm (h1).png,Adamant helm (h1)
An adamant helmet with a heraldic design.,10298,false,1408,70,3520,2112,Adamant helm (h2).png,Adamant helm (h2)
An adamant helmet with a heraldic design.,10300,false,1408,70,3520,2112,Adamant helm (h3).png,Adamant helm (h3)
An adamant helmet with a heraldic design.,10302,false,1408,70,3520,2112,Adamant helm (h4).png,Adamant helm (h4)
An adamant helmet with a heraldic design.,10304,false,1408,70,3520,2112,Adamant helm (h5).png,Adamant helm (h5)
An adamant tipped javelin.,829,true,64,11000,160,96,Adamant javelin.png,Adamant javelin
Needs a shaft.,19578,true,176,10000,440,264,Adamant javelin heads 5.png,Adamant javelin heads
An adamant tipped javelin.,835,true,64,11000,160,96,Adamant javelin(p).png,Adamant javelin(p)
An adamant tipped javelin.,5646,true,64,11000,160,96,Adamant javelin(p+).png,Adamant javelin(p+)
An adamant tipped javelin.,5652,true,64,11000,160,96,Adamant javelin(p++).png,Adamant javelin(p++)
A large metal shield.,1199,false,2176,125,5440,3264,Adamant kiteshield.png,Adamant kiteshield
Adamant kiteshield with gold trim.,2611,false,2176,8,5440,3264,Adamant kiteshield (g).png,Adamant kiteshield (g)
Adamant kiteshield with trim.,2603,false,2176,8,5440,3264,Adamant kiteshield (t).png,Adamant kiteshield (t)
A finely balanced throwing knife.,867,true,26,11000,66,39,Adamant knife.png,Adamant knife
A finely balanced throwing knife.,875,true,26,11000,66,39,Adamant knife(p).png,Adamant knife(p)
A finely balanced throwing knife.,5659,true,26,7000,66,39,Adamant knife(p+).png,Adamant knife(p+)
A finely balanced throwing knife.,5666,true,26,7000,66,39,Adamant knife(p++).png,Adamant knife(p++)
A razor sharp longsword.,1301,false,1280,125,3200,1920,Adamant longsword.png,Adamant longsword
A spiky mace.,1430,false,576,125,1440,864,Adamant mace.png,Adamant mace
A medium sized helmet.,1145,false,768,125,1920,1152,Adamant med helm.png,Adamant med helm
Used for mining.,1271,false,1280,40,3200,1920,Adamant pickaxe.png,Adamant pickaxe
Provides excellent protection.,1123,false,6656,125,16640,9984,Adamant platebody.png,Adamant platebody
Adamant platebody with gold trim.,2607,false,6656,8,16640,9984,Adamant platebody (g).png,Adamant platebody (g)
Adamant platebody with a heraldic design.,23392,false,6656,8,16640,9984,Adamant platebody (h1).png,Adamant platebody (h1)
Adamant platebody with a heraldic design.,23395,false,6656,8,16640,9984,Adamant platebody (h2).png,Adamant platebody (h2)
Adamant platebody with a heraldic design.,23398,false,6656,8,16640,9984,Adamant platebody (h3).png,Adamant platebody (h3)
Adamant platebody with a heraldic design.,23401,false,6656,8,16640,9984,Adamant platebody (h4).png,Adamant platebody (h4)
Adamant platebody with a heraldic design.,23404,false,6656,8,16640,9984,Adamant platebody (h5).png,Adamant platebody (h5)
Adamant platebody with trim.,2599,false,6656,8,16640,9984,Adamant platebody (t).png,Adamant platebody (t)
These look pretty heavy.,1073,false,2560,125,6400,3840,Adamant platelegs.png,Adamant platelegs
Adamant platelegs with gold trim.,2609,false,2560,8,6400,3840,Adamant platelegs (g).png,Adamant platelegs (g)
Adamant platelegs with trim.,2601,false,2560,8,6400,3840,Adamant platelegs (t).png,Adamant platelegs (t)
Designer leg protection.,1091,false,2560,125,6400,3840,Adamant plateskirt.png,Adamant plateskirt
Adamant plateskirt with gold trim.,3475,false,2560,8,6400,3840,Adamant plateskirt (g).png,Adamant plateskirt (g)
Adamant plateskirt with trim.,3474,false,2560,8,6400,3840,Adamant plateskirt (t).png,Adamant plateskirt (t)
"A vicious, curved sword.",1331,false,1024,125,2560,1536,Adamant scimitar.png,Adamant scimitar
"A set containing a full helm, platebody, legs and kiteshield.",13012,false,3200,8,8000,4800,Adamant set (lg).png,Adamant set (lg)
"A set containing a full helm, platebody, skirt and kiteshield.",13014,false,3200,8,8000,4800,Adamant set (sk).png,Adamant set (sk)
A shield with a heraldic design,7334,false,2176,70,5440,3264,Adamant shield (h1).png,Adamant shield (h1)
A shield with a heraldic design,7340,false,2176,70,5440,3264,Adamant shield (h2).png,Adamant shield (h2)
A shield with a heraldic design,7346,false,2176,70,5440,3264,Adamant shield (h3).png,Adamant shield (h3)
A shield with a heraldic design,7352,false,2176,70,5440,3264,Adamant shield (h4).png,Adamant shield (h4)
A shield with a heraldic design,7358,false,2176,70,5440,3264,Adamant shield (h5).png,Adamant shield (h5)
An adamantite tipped spear.,1245,true,832,125,2080,1248,Adamant spear.png,Adamant spear
A poisoned adamantite tipped spear.,1259,true,832,125,2080,1248,Adamant spear(p).png,Adamant spear(p)
A poisoned adamantite tipped spear.,5712,true,832,125,2080,1248,Adamant spear(p+).png,Adamant spear(p+)
A poisoned adamantite tipped spear.,5726,true,832,125,2080,1248,Adamant spear(p++).png,Adamant spear(p++)
A medium square shield.,1183,false,1536,125,3840,2304,Adamant sq shield.png,Adamant sq shield
A razor sharp sword.,1287,false,832,125,2080,1248,Adamant sword.png,Adamant sword
A finely balanced throwing axe.,804,true,70,11000,176,105,Adamant thrownaxe.png,Adamant thrownaxe
"A set containing a full helm, platebody, legs and kiteshield.",13016,false,3200,8,8000,4800,Adamant trimmed set (lg).png,Adamant trimmed set (lg)
"A set containing a full helm, platebody, skirt and kiteshield.",13018,false,3200,8,8000,4800,Adamant trimmed set (sk).png,Adamant trimmed set (sk)
I don't think it's intended for joinery.,1345,false,1648,125,4120,2472,Adamant warhammer.png,Adamant warhammer
It's a bar of adamantite.,2361,false,256,10000,640,384,Adamantite bar.png,Adamantite bar
A pair of adamantite crossbow limbs.,9429,true,640,10000,1600,960,Adamantite limbs.png,Adamantite limbs
Keeps things in place fairly permanently.,4823,true,18,13000,45,27,Adamantite nails.png,Adamantite nails
This needs refining.,449,false,160,4500,400,240,Adamantite ore.png,Adamantite ore
Much tastier than a normal fish pie.,7198,true,124,10000,310,186,Admiral pie.png,Admiral pie
Wild!,12430,true,273,4,684,410,Afro.png,Afro
One dose of fishy Agility potion.,11463,true,20,2000,50,30,Agility mix(1).png,Agility mix(1)
Two doses of fishy Agility potion.,11461,true,40,2000,100,60,Agility mix(2).png,Agility mix(2)
1 dose of Agility potion.,3038,true,20,2000,50,30,Agility potion(1).png,Agility potion(1)
2 doses of Agility potion.,3036,true,40,2000,100,60,Agility potion(2).png,Agility potion(2)
3 doses of Agility potion.,3034,true,60,2000,150,90,Agility potion(3).png,Agility potion(3)
4 doses of Agility potion.,3032,true,80,2000,200,120,Agility potion(4).png,Agility potion(4)
"A set containing an Ahrim's hood, robetop, robeskirt and staff.",12881,true,80000,8,200000,120000,Ahrim's armour set.png,Ahrim's armour set
Ahrim the Blighted's leather hood.,4708,true,5200,15,13000,7800,Ahrim's hood.png,Ahrim's hood
Ahrim the Blighted's leather hood.,4860,true,5200,15,13000,7800,Ahrim's hood 0.png,Ahrim's hood 0
Ahrim the Blighted's armoured robe skirt.,4714,true,18800,15,47000,28200,Ahrim's robeskirt.png,Ahrim's robeskirt
Ahrim the Blighted's armoured robe skirt.,4878,true,18800,15,47000,28200,Ahrim's robeskirt 0.png,Ahrim's robeskirt 0
Ahrim the Blighted's armoured robe top.,4712,true,20000,15,50000,30000,Ahrim's robetop.png,Ahrim's robetop
Ahrim the Blighted's armoured robe top.,4872,true,20000,15,50000,30000,Ahrim's robetop 0.png,Ahrim's robetop 0
Ahrim the Blighted's quarterstaff.,4710,true,34000,15,85000,51000,Ahrim's staff.png,Ahrim's staff
Ahrim the Blighted's quarterstaff.,4866,true,34000,15,85000,51000,Ahrim's staff 0.png,Ahrim's staff 0
It's a slightly magical stick.,1397,true,6200,18000,15500,9300,Air battlestaff.png,Air battlestaff
A magic glowing orb.,573,true,120,11000,300,180,Air orb.png,Air orb
One of the 4 basic elemental Runes.,556,false,1,50000,4,2,Air rune.png,Air rune
A mysterious power emanates from the talisman...,1438,false,1,11000,4,2,Air talisman.png,Air talisman
A tiara infused with the properties of air.,5527,false,40,40,100,60,Air tiara.png,Air tiara
This is pretty well sealed.,4436,true,4,15,10,6,Airtight pot.png,Airtight pot
Ale of the gods.,20056,true,340,4,850,510,Ale of the gods.png,Ale of the gods
A pot filled with ale yeast.,5767,true,1,11000,1,1,Ale yeast.png,Ale yeast
Maybe I can make something with this.,21347,true,1560,13000,3900,2340,Amethyst.png,Amethyst
Arrows with amethyst heads.,21326,true,196,11000,490,294,Amethyst arrow 5.png,Amethyst arrow
Venomous-looking arrows.,21332,true,196,11000,490,294,Amethyst arrow(p) 5.png,Amethyst arrow(p)
Venomous-looking arrows.,21334,true,196,11000,490,294,Amethyst arrow(p+) 5.png,Amethyst arrow(p+)
Venomous-looking arrows.,21336,true,196,11000,490,294,Amethyst arrow(p++) 5.png,Amethyst arrow(p++)
I can make some arrows with these.,21350,true,98,10000,245,147,Amethyst arrowtips.png,Amethyst arrowtips
Amethyst bolt tips.,21338,true,64,11000,160,96,Amethyst bolt tips 5.png,Amethyst bolt tips
Crossbow bolts with amethyst broad tips.,21316,true,96,11000,240,144,Amethyst broad bolts 5.png,Amethyst broad bolts
A deadly throwing dart with an amethyst tip.,25849,true,160,11000,400,240,Amethyst dart.png,Amethyst dart
A deadly-looking dart tip made of amethyst - needs feathers for flight.,25853,true,80,11000,200,120,Amethyst dart tip.png,Amethyst dart tip
A deadly throwing dart with an amethyst tip.,25851,true,160,11000,400,240,Amethyst dart(p).png,Amethyst dart(p)
A deadly throwing dart with an amethyst tip.,25855,true,160,11000,400,240,Amethyst dart(p+).png,Amethyst dart(p+)
A deadly throwing dart with an amethyst tip.,25857,true,160,11000,400,240,Amethyst dart(p++).png,Amethyst dart(p++)
An amethyst tipped javelin.,21318,true,168,11000,420,252,Amethyst javelin.png,Amethyst javelin
Needs a shaft.,21352,true,608,10000,1520,912,Amethyst javelin heads 5.png,Amethyst javelin heads
An amethyst tipped javelin.,21320,true,168,7000,420,252,Amethyst javelin(p).png,Amethyst javelin(p)
An amethyst tipped javelin.,21322,true,168,7000,420,252,Amethyst javelin(p+).png,Amethyst javelin(p+)
An amethyst tipped javelin.,21324,true,168,7000,420,252,Amethyst javelin(p++).png,Amethyst javelin(p++)
Used to make amulets.,1595,false,2,40,5,3,Amulet mould.png,Amulet mould
It increases my aim.,1478,false,40,5,100,60,Amulet of accuracy.png,Amulet of accuracy
A hauntingly beautiful amulet bearing the shape of a skull.,22557,true,18000,8,45000,27000,Amulet of avarice.png,Amulet of avarice
Saves seeds when planting in allotments.,21160,true,360,10000,900,540,Amulet of bounty.png,Amulet of bounty
Useful when making potions - has the chance of giving an extra dose.,21163,true,420,10000,1050,630,Amulet of chemistry.png,Amulet of chemistry
An enchanted emerald amulet of protection.,1729,false,510,125,1275,765,Amulet of defence.png,Amulet of defence
An enchanted emerald amulet of protection that looks good.,23309,false,510,4,1275,765,Amulet of defence (t).png,Amulet of defence (t)
A dragonstone amulet with an unlimited supply of magic charges.,19707,true,7050,5,17625,10575,Amulet of eternal glory.png,Amulet of eternal glory
A very powerful onyx amulet.,6585,true,80800,8,202000,121200,Amulet of fury.png,Amulet of fury
A very powerful dragonstone amulet.,1704,true,7050,10000,17625,10575,Amulet of glory.png,Amulet of glory
A very powerful dragonstone amulet.,10362,true,7050,5,17625,10575,Amulet of glory (t).png,Amulet of glory (t)
A very powerful dragonstone amulet.,10354,true,7050,5,17625,10575,Amulet of glory (t4).png,Amulet of glory (t4)
A very powerful dragonstone amulet.,11964,true,7050,5,17625,10575,Amulet of glory (t6).png,Amulet of glory (t6)
A dragonstone amulet with 4 magic charges.,1712,true,7050,10000,17625,10575,Amulet of glory(4).png,Amulet of glory(4)
A dragonstone amulet with 6 magic charges.,11978,true,7050,10000,17625,10575,Amulet of glory(6).png,Amulet of glory(6)
An enchanted sapphire amulet of magic.,1727,false,360,125,900,540,Amulet of magic.png,Amulet of magic
An enchanted sapphire amulet of magic.,10366,false,360,5,900,540,Amulet of magic (t).png,Amulet of magic (t)
An enchanted diamond amulet of power.,1731,false,1410,125,3525,2115,Amulet of power.png,Amulet of power
An enchanted diamond amulet that looks good.,23354,false,1610,5,4025,2415,Amulet of power (t).png,Amulet of power (t)
An enchanted ruby amulet.,1725,false,810,125,2025,1215,Amulet of strength.png,Amulet of strength
Heirloom of an ancient family of Morytania.,12851,true,23200,8,58001,34800,Amulet of the damned (full).png,Amulet of the damned (full)
A deep sense of torture burns within this powerful amulet.,19553,true,80800,8,202000,121200,Amulet of torture.png,Amulet of torture
Good for enhancing a super energy potion.,12640,true,8,11000,20,12,Amylase crystal 5.png,Amylase crystal
The hat of a powerful sorceress from a bygone era.,21018,true,18000,8,45000,27000,Ancestral hat.png,Ancestral hat
The robe bottoms of a powerful sorceress from a bygone era.,21024,true,32000,8,80000,48000,Ancestral robe bottom.png,Ancestral robe bottom
The robe top of a powerful sorceress from a bygone era.,21021,true,48000,8,120000,72000,Ancestral robe top.png,Ancestral robe top
"A set containing an Ancestral hat, robe top and robe bottom.",21049,true,58000,5,145000,87000,Ancestral robes set.png,Ancestral robes set
Some nicely cooked anchovies.,319,false,6,15000,15,9,Anchovies.png,Anchovies
A pizza with anchovies.,2297,false,24,10000,60,36,Anchovy pizza.png,Anchovy pizza
"The misery that is now upon us is but the passing of greed, the bitterness of those who fear the way of progress.",20235,true,32,5,80,48,Ancient blessing.png,Ancient blessing
Ancient blessed dragonhide vambraces.,12490,true,1600,8,4000,2400,Ancient bracers.png,Ancient bracers
1 dose of Ancient brew.,26346,true,50,,125,75,Ancient brew(1).png,Ancient brew(1)
2 doses of Ancient brew.,26344,true,60,,150,90,Ancient brew(2).png,Ancient brew(2)
3 doses of Ancient brew.,26342,true,70,,175,105,Ancient brew(3).png,Ancient brew(3)
4 doses of Ancient brew.,26340,true,80,2000,200,120,Ancient brew(4).png,Ancient brew(4)
Some ceremonial boots dedicated to an ancient god.,26229,true,16000,8,40000,24000,Ancient ceremonial boots.png,Ancient ceremonial boots
Some ceremonial gloves dedicated to an ancient god.,26227,true,16000,8,40000,24000,Ancient ceremonial gloves.png,Ancient ceremonial gloves
Some ceremonial robes dedicated to an ancient god.,26223,true,32000,8,80000,48000,Ancient ceremonial legs.png,Ancient ceremonial legs
A ceremonial mask dedicated to an ancient god.,26225,true,20000,8,50000,30000,Ancient ceremonial mask.png,Ancient ceremonial mask
Some ceremonial robes dedicated to an ancient god.,26221,true,40000,8,100000,60000,Ancient ceremonial top.png,Ancient ceremonial top
Ancient blessed dragonhide chaps.,12494,true,2400,8,6000,3600,Ancient chaps.png,Ancient chaps
An Ancient cloak.,12197,true,800,8,2000,1200,Ancient cloak.png,Ancient cloak
Ancient blessed dragonhide coif.,12496,true,800,8,2000,1200,Ancient coif.png,Ancient coif
An Ancient crozier.,12199,true,2000,8,5000,3000,Ancient crozier.png,Ancient crozier
An ancient crystal containing magical energy.,21804,true,100000,250,250000,150000,Ancient crystal.png,Ancient crystal
Ancient blessed dragonhide body armour.,12492,true,5200,8,13000,7800,Ancient d'hide body.png,Ancient d'hide body
Ancient blessed dragonhide boots.,19921,true,3720,8,9300,5580,Ancient d'hide boots.png,Ancient d'hide boots
Ancient blessed wooden shield covered in dragon leather.,23197,true,11333,8,28334,17000,Ancient d'hide shield.png,Ancient d'hide shield
"A set containing an ancient dragonhide coif, body, chaps and bracers.",13171,true,3800,8,9500,5700,Ancient dragonhide set.png,Ancient dragonhide set
"A mysterious artifact of ancient times, very precious to emblem traders.",22302,true,3200000,250,8000000,4800000,Ancient effigy.png,Ancient effigy
"A mysterious artifact of ancient times, of some value to emblem traders.",21807,true,200000,250,500000,300000,Ancient emblem.png,Ancient emblem
Rune full helmet in the colours of a long-forgotten god.,12466,false,14080,8,35200,21120,Ancient full helm.png,Ancient full helm
"A mysterious, heavy sword.",26233,true,500000,,1250000,750000,Ancient godsword.png,Ancient godsword
Brimming with potential.,26370,true,200000,,500000,300000,Ancient hilt.png,Ancient hilt
Rune kiteshield in the colours of a long-forgotten god.,12468,false,21760,8,54400,32640,Ancient kiteshield.png,Ancient kiteshield
It has ancient goblin symbols on it.,11061,true,400,8,1000,600,Ancient mace.png,Ancient mace
"A mysterious artifact of ancient times, precious to emblem traders.",22299,true,1600000,250,4000000,2400000,Ancient medallion.png,Ancient medallion
An Ancient mitre.,12203,true,2000,8,5000,3000,Ancient mitre.png,Ancient mitre
One dose of fishy ancient brew.,26353,true,50,,125,75,Ancient mix(1).png,Ancient mix(1)
Two doses of fishy ancient brew.,26350,true,60,,150,90,Ancient mix(2).png,Ancient mix(2)
This seems to have been torn from a book...,12621,true,160,5,400,240,Ancient page 1.png,Ancient page 1
This seems to have been torn from a book...,12622,true,160,5,400,240,Ancient page 2.png,Ancient page 2
This seems to have been torn from a book...,12623,true,160,5,400,240,Ancient page 3.png,Ancient page 3
This seems to have been torn from a book...,12624,true,160,5,400,240,Ancient page 4.png,Ancient page 4
Rune platebody in the colours of a long-forgotten god.,12460,false,26000,8,65000,39000,Ancient platebody.png,Ancient platebody
Rune platelegs in the colours of a long-forgotten god.,12462,false,25600,8,64000,38400,Ancient platelegs.png,Ancient platelegs
Rune plateskirt in the colours of a long-forgotten god.,12464,false,25600,8,64000,38400,Ancient plateskirt.png,Ancient plateskirt
"A mysterious artifact of ancient times, emblem traders will pay you extremely handsomely for this.",22305,true,6400000,250,16000000,9600000,Ancient relic.png,Ancient relic
Leggings from the Ancient Vestments.,12195,true,2800,8,7000,4200,Ancient robe legs.png,Ancient robe legs
Ancient Vestments.,12193,true,2800,8,7000,4200,Ancient robe top.png,Ancient robe top
"A set containing a full helm, platebody, legs and kiteshield.",13060,false,32000,8,80000,48000,Ancient rune armour set (lg).png,Ancient rune armour set (lg)
"A set containing a full helm, platebody, skirt and kiteshield.",13062,false,32000,8,80000,48000,Ancient rune armour set (sk).png,Ancient rune armour set (sk)
A magical staff of ancient origin...,4675,true,40000,70,100000,60000,Ancient staff.png,Ancient staff
"A mysterious artifact of ancient times, of substantial value to emblem traders.",21813,true,800000,250,2000000,1200000,Ancient statuette.png,Ancient statuette
An Ancient stole.,12201,true,1000,8,2500,1500,Ancient stole.png,Ancient stole
"A mysterious artifact of ancient times, of reasonable value to emblem traders.",21810,true,400000,250,1000000,600000,Ancient totem.png,Ancient totem
A magical shield with a wyvern visage.,21634,true,800000,8,2000000,1200000,Ancient wyvern shield (uncharged).png,Ancient wyvern shield
I hope this tastes better than it looks.,13441,true,180,10000,450,270,Anglerfish.png,Anglerfish
Use on a necklace of anguish to make it look fancier!,22246,true,2000,4,5000,3000,Anguish ornament kit.png,Anguish ornament kit
These gloves will make your flesh transparent.,20101,true,1,4,1,1,Ankou gloves.png,Ankou gloves
This mask will make your flesh transparent.,20095,true,1,4,1,1,Ankou mask.png,Ankou mask
These socks will make your flesh transparent.,20107,true,1,4,1,1,Ankou socks.png,Ankou socks
This top will make your flesh transparent.,20098,true,1,4,1,1,Ankou top.png,Ankou top
These leggings will make your flesh transparent.,20104,true,1,4,1,1,Ankou's leggings.png,Ankou's leggings
"A teleport to Annakarl, in level 46 Wilderness.",12775,true,1,10000,1,1,Annakarl teleport (tablet).png,Annakarl teleport (tablet)
This provides partial protection from dragonbreath attacks.,1540,false,8,125,20,12,Anti-dragon shield.png,Anti-dragon shield
One dose of fishy super antipoison potion.,11475,true,57,2000,144,86,Anti-poison supermix(1).png,Anti-poison supermix(1)
Two doses of fishy super antipoison potion.,11473,true,86,2000,216,129,Anti-poison supermix(2).png,Anti-poison supermix(2)
1 dose of antivenom potion.,12911,true,44,2000,110,66,Anti-venom(1).png,Anti-venom(1)
2 doses of antivenom potion.,12909,true,88,2000,220,132,Anti-venom(2).png,Anti-venom(2)
